price,demand,revenue,log_price,log_demand
6.524,245.82274,1603.7475469360352,1.8754876847587674,5.5086703
6.904526315789473,245.82274,1697.289568010832,1.9321771843328441,5.5086703
7.285052631578948,245.82274,1790.8315890856293,1.985824664271578,5.5086703
7.665578947368421,245.82274,1884.373610160426,2.0367400407654213,5.5086703
8.046105263157894,245.82274,1977.915631235223,2.085188156111407,5.5086703
8.426631578947369,245.82274,2071.45765231002,2.1313971167111383,5.5086703
8.807157894736843,245.82274,2164.999673384817,2.1755647879851785,5.5086703
9.187684210526317,245.82274,2258.5416944596145,2.2178639144632672,5.5086703
9.56821052631579,245.82274,2352.083715534411,2.258446200134666,5.5086703
9.948736842105264,245.82274,2445.625736609208,2.2974455925694146,5.5086703
10.329263157894738,245.82274,2539.167757684005,2.334980950277133,5.5086703
10.70978947368421,245.82274,2632.709778758802,2.371158227280855,5.5086703
11.090315789473685,245.82274,2726.2517998335993,2.406072276112293,5.5086703
11.47084210526316,245.82274,2819.7938209083964,2.4398083465163274,5.5086703
11.851368421052634,245.82274,2913.3358419831934,2.472443339483846,5.5086703
12.231894736842108,245.82274,3006.8778630579905,2.5040468630339867,5.5086703
12.61242105263158,245.82274,3100.419884132787,2.5346821262057526,5.5086703
12.992947368421053,245.82274,3193.9619052075836,2.5644067001282185,5.5086703
13.373473684210527,245.82274,3287.503926282381,2.5932731692018502,5.5086703
13.754000000000001,245.82274,3381.045947357178,2.6213296908976447,5.5086703
